race,count,pct_all,dataset
W,101,0.7163120567375887,houston
B,36,0.2553191489361702,houston
U,3,0.02127659574468085,houston
A,1,0.0070921985815602835,houston
W,84,0.6086956521739131,sanantonio
L,44,0.3188405797101449,sanantonio
B,10,0.07246376811594203,sanantonio
White,6,0.5454545454545454,austin_felony
Black,5,0.45454545454545453,austin_felony
White,97,0.7028985507246377,dallas
Black,41,0.2971014492753623,dallas
